N,P,K,Temp,Humidity,pH,Rainfall,Soil_temp,Soil_moisture,Crop
51.3,44.7,20.1,35.4,83,5.71,2124.4,26.4,75.6,Rice
43.6,30.1,34.5,31.7,56.9,6.22,2032.7,28.5,83.7,Rice
28.9,21.3,52.5,29.2,76.5,6.28,2484.7,23.6,84.4,Rice
72.8,59.7,10,29.9,89.6,6,1793.4,29.1,93.8,Rice
51.5,56.8,38.7,23.1,96.8,7.41,1848.6,29.5,74.7,Rice
62.3,70.9,47.1,30.5,80.9,5.81,1622.1,25.2,69.5,Rice
56.6,71,17.1,32.8,82.3,6.59,1985.8,29.8,64.9,Rice
43.4,79.5,40.3,26.3,88.3,6.13,2043.8,28.9,61.2,Rice
27.4,56.8,43.1,37,62.5,6,2210.2,32,78.4,Rice
10,61,28,31,80,7.5,1585.2,27.6,83.8,Rice
54,45.6,47,34.3,87.5,6.65,1845.7,33,86.5,Rice
46.2,44,43.9,23.4,70.4,6.5,1516.2,32.9,78.3,Rice
15.1,55.7,53.2,32.4,67.2,6.5,1838.9,28.2,90.3,Rice
39.1,42.4,28,32.7,82.9,6.44,2479.3,26.9,93.2,Rice
25.3,58,10,32.6,82.2,6.73,2246.1,25.4,83.3,Rice
21.7,50.4,25,29.4,67.9,7.27,1894.6,24.7,71.9,Rice
18.5,33.7,22.5,23.6,61.9,7.4,1981.3,30.1,78.2,Rice
24.7,33,14.3,31,78.8,7.01,1893.2,27.2,70.6,Rice
38,70.7,25.3,28.9,78.3,7.41,2097.4,27.9,81.8,Rice
86.7,54.9,23,30.8,86,7.2,1713.3,31.4,72.8,Rice
76.1,56.7,31.1,30.6,81.4,6.24,1989.8,25,73.5,Rice
59.3,43.1,28.4,28.5,80.9,7.18,1618.9,25.6,81.6,Rice
84.9,85.7,24.2,33.1,93.1,6.73,1719.3,27.2,68.2,Rice
33.7,53,53.8,27.8,84.4,6.27,2423,31.7,80.6,Rice
32.4,40.7,28.3,31.1,92.6,6.36,2107.7,26.7,96.3,Rice
100,52,10,30.3,83.6,6.59,2154,26,66.1,Rice
48.1,48,15.4,30.1,95.4,6.66,2178,32,78.1,Rice
58.5,60.5,23,26.1,84.7,6.02,2497,26.3,86.6,Rice
42,71.9,22.6,28.2,89,6.35,2070,31.2,69.7,Rice
83.7,37.6,50.1,32.8,61.3,6.82,1639.7,32.6,90.8,Rice
41.1,47.9,19.8,28.6,98.9,6.37,1647.8,25.5,83.9,Rice
67,38.1,20.4,32.1,86.3,5.96,1998.5,33.5,81.3,Rice
64.3,35.5,36.3,24.1,75.8,5.91,1752.5,28.7,100,Rice
47.2,35.3,47.9,30.5,73.9,6.56,2076.8,32.4,81.4,Rice
43.7,62.6,10,27.2,94.7,7.33,1927.8,27.6,81.8,Rice
67.8,28.3,42.2,32.3,93.2,6.18,2642.6,28.7,71.6,Rice
36.6,54,35.6,26.5,97.7,5.94,2139.6,23.8,82.9,Rice
10,50.6,43,29.2,81.3,6.35,2067.4,29.1,90,Rice
83.2,40.6,40.1,28.2,90.7,7.01,2380.9,31,75.8,Rice
29.1,36.3,11.8,37,86.5,7.03,2127.6,20.6,71.8,Rice
83.9,32.9,41.1,32.5,92.6,6.89,1957.7,28.5,90.7,Rice
33.2,35.8,44.6,29,82.5,6.7,1901.3,25,65.1,Rice
10,94.1,10,29.6,81.1,5.98,2366.2,31,95.7,Rice
31.6,59.7,37.9,30.4,81.4,7.1,2113.3,30,75.4,Rice
48.5,34.3,22,27.1,80,6.97,2173.3,23.2,78.5,Rice
82.6,45,10,31,90.1,6.72,1922.9,29.5,86.5,Rice
67.6,60.8,28.4,33.1,100,7.31,1941.4,28.8,83.2,Rice
39.3,44.1,29.7,32,85.8,6.1,1759.7,30.3,100,Rice
45.6,59.4,30.1,30.2,69.9,6.08,1660.2,28.7,91.1,Rice
54.3,45.7,36.9,31,80.8,6.33,1833.4,30.9,85.7,Rice
67,62.3,24.4,28.4,70,6.29,2033.2,21.8,91.1,Rice
61.2,15.5,10,32.3,73.2,6.12,1736.8,29.5,84.1,Rice
19.9,66.7,23.4,37,92.7,6.2,2439.8,26.4,77,Rice
30.3,62.8,26.8,30.8,79.3,6.59,2064.1,26.6,62.7,Rice
57.6,55.7,63,33,82.7,6.43,1937.3,28.9,81.7,Rice
35.8,64.2,70,29.7,76.2,6.2,2072.1,25.7,94.9,Rice
50,44.4,10,26.7,83.6,6.39,2228.3,23.8,74.8,Rice
75,31.7,47.4,32.6,64.2,6.7,1692.2,25.2,100,Rice
50.3,44.6,40.2,25.8,75.1,6.71,2223.8,30.2,63,Rice
84.1,41.7,30.1,27.7,82.4,6.71,1354.4,25.8,91.8,Rice
47,78.1,37.3,29.8,88.2,6.33,2043.9,32.2,82.7,Rice
64.6,51.7,10,30.4,70.1,6.22,1955.7,22.3,64.6,Rice
34.1,37.8,41.3,26.8,90.1,7.01,2099.4,27.6,100,Rice
59.1,49.1,19.9,27.4,77.3,5.83,2113,28.9,77.9,Rice
86.8,53.8,52.4,30.5,75.5,6.01,1938.8,26.9,88.2,Rice
10,68.5,22.6,29.2,72.4,6.66,1385.5,21.6,73.6,Rice
78.8,40.5,23.1,24.9,81,6.5,2324.5,28.8,73,Rice
63.7,56.7,40,28.5,92.1,6.78,1965.1,28.5,89.6,Rice
54.6,57.1,35.9,30.2,100,7.38,1603.3,26.5,89.2,Rice
45.3,51.2,18.2,25.1,74.5,7.5,1699.3,29.2,88.1,Rice
22.9,42,33.5,27.8,83.1,6.25,2142.6,28.3,76.8,Rice
34.6,34.1,12.2,25.6,63.9,6.78,1979.1,22.2,100,Rice
66.5,54.6,10,27.4,90.5,7.17,1826.2,29.5,87.4,Rice
87.3,46.3,54.1,28.5,74.5,6.31,1625,30,62.8,Rice
63.3,39.3,29.8,28.8,77.3,6.13,2407.8,27.4,93.7,Rice
45.5,40.7,27.8,21.7,84.4,5.9,1871.1,29.5,88.1,Rice
65.3,50.7,27.2,31.4,71.6,6.29,2203.1,28.4,50.2,Rice
52.2,49.3,10,27,68.3,6.3,2125.2,29.8,83.1,Rice
45.1,49.1,31.2,32.8,68.4,7.5,2597.6,29.2,76.3,Rice
33.1,57.9,10,28.6,86.1,6.36,3000,31.1,91.9,Rice
59.3,29.7,36.5,31.8,80.5,6.93,2154.9,36.3,85.6,Rice
66.7,53.6,32.2,27.2,75.3,5.66,1772.5,26.3,89.3,Rice
16.6,49.9,11.5,24.2,86,6.86,2110.2,24.8,72.2,Rice
76.3,56.1,66.8,30.5,68.6,6.67,2014.6,26.4,87.1,Rice
46.2,47.2,44,33.7,83,7.14,1719.4,24.4,75.7,Rice
46.7,33.9,22.8,24.6,61.9,6.59,2603.2,29,70.4,Rice
100,61.5,48,28.7,70.4,6.33,2343.1,25.7,84.7,Rice
18.2,67.2,10,24.5,92.3,6.66,2652.8,24.3,72.5,Rice
45.2,100,19.6,23.4,82.6,6.35,1343.7,30.5,85.9,Rice
10,54.9,24,29.6,73.5,7.05,2449.7,31.6,77.5,Rice
78.9,48.5,35.2,30.9,83.5,6.17,1926.6,27.5,89.6,Rice
87.6,18.8,34.3,33.4,91.1,5.62,1244.7,25.4,76.2,Rice
63,72,19.1,26.1,85,7.3,2094,22.8,92.6,Rice
64.2,56.2,22.2,26.9,88.6,6.44,1622.2,31.8,68,Rice
31.6,41.4,14,33.3,72.3,6.27,2017.6,25.5,82.8,Rice
26.9,54.6,40.5,31.9,78.6,6.98,1975.7,26.5,83.1,Rice
75.1,76,23.5,32.5,65.8,6.49,2567.5,30.5,74.2,Rice
13.9,62.1,10,26.8,77,5.93,2064.1,27,67.7,Rice
71.3,51.3,70,32.9,62.9,6.33,1713.6,26.3,90.1,Rice
35.1,56.5,57.1,34.2,81.1,6.77,2051,23.2,90.7,Rice
31.3,45,16.6,28.6,94.2,6.04,2037.5,27,81,Rice
95.7,71.4,35.2,30.2,76.8,6.23,1498.4,28.1,82,Rice
17.7,28.4,15,31.1,81.3,5.63,2828.6,23.2,72.4,Rice
10,55,33.9,28,76.6,6.28,1829.6,27.9,80.2,Rice
50.7,82.9,14.1,26.6,80.7,6.75,1791.6,27.2,89.6,Rice
47.6,49.9,10,27.1,85.2,5.93,2333.2,29.1,73.7,Rice
63.2,69.3,26.9,33.6,76.3,7.11,2474.8,27.1,77.5,Rice
44.8,56.5,10.6,28.2,72.3,6.83,2052,28.9,71.8,Rice
75.1,38.5,44.6,31.4,50,6.57,1694.2,23.8,85.2,Rice
59.7,52.9,33.9,30.8,69.1,5.97,1265.8,32,91.4,Rice
57.2,57.1,66.1,30.3,64.9,7.11,2821,28.2,73.9,Rice
23.8,47.7,30.9,32.4,77.3,6.62,2070.3,21.7,70.6,Rice
46.8,55.7,30.1,29.6,91.9,6.9,1598.2,32.2,85.8,Rice
47.8,63.1,17.6,33.1,71.1,5.57,2329.4,23.2,59.7,Rice
10.6,61.3,18.5,27.7,78.5,6.54,1741.8,26.2,75.8,Rice
63.2,53.2,33,23.9,78.1,6.55,1747.1,29.5,73.8,Rice
58.5,45.2,10.4,29.9,65.4,5.61,1963.2,27.7,71.3,Rice
41.9,21.1,26.5,33.1,80.7,6.3,1960.4,29.3,85.1,Rice
38.2,55.2,27.7,25.9,86.1,6.5,2377.9,29.8,98.8,Rice
44.6,53.1,23.6,27.8,75.4,5.68,1761.6,27.5,76.1,Rice
